"1","0","0,","0","1","","顶级栏目","","","","",""
"10","1","0,1,","1","4","article","软件介绍","","","","",""
"11","10","0,1,10,","1","4","article","网络工具","","","","",""
"12","10","0,1,10,","1","4","article","浏览工具","","","","",""
"13","10","0,1,10,","1","4","article","浏览辅助","","","","",""
"14","10","0,1,10,","1","4","article","网络优化","","","","",""
"15","10","0,1,10,","1","4","article","邮件处理","","","","",""
"16","10","0,1,10,","1","4","article","下载工具","","","","",""
"17","10","0,1,10,","1","4","article","搜索工具","","","","",""
"18","1","0,1,","1","5","link","友情链接","","","","",""
"19","18","0,1,18,","1","5","link","常用网站","","","","",""
"2","1","0,1,","1","3","article","组织机构","","","","",""
"20","18","0,1,18,","1","5","link","门户网站","","","","",""
"21","18","0,1,18,","1","5","link","购物网站","","","","",""
"22","18","0,1,18,","1","5","link","交友社区","","","","",""
"23","18","0,1,18,","1","5","link","音乐视频","","","","",""
"24","1","0,1,","1","6","","百度一下","","http://www.baidu.com","_blank","",""
"25","1","0,1,","1","6","","全文检索","","/search","","",""
"26","1","0,1,","2","6","article","测试栏目","","","","",""
"27","1","0,1,","1","6","","公共留言","","/guestbook","","",""
"3","2","0,1,2,","1","3","article","网站简介","","","","",""
"4","2","0,1,2,","1","3","article","内部机构","","","","",""
"5","2","0,1,2,","1","3","article","地方机构","","","","",""
"6","1","0,1,","1","3","article","质量检验","","","","",""
"621acb0f4ffc4c68b952877eda4d803b","1","0,1,","b36d7b2e035b4df3a24caa2dc60c08e2","1","","丁猛测试栏目","/jeesite-1.2.6/userfiles/1/_thumbs/images/cms/site/2015/05/logo.png","www.baidu.com","_blank","_blank_blank_blank_blank_blank_blank_blank","_blank"
"7","6","0,1,6,","1","3","article","产品质量","","","","",""
"8","6","0,1,6,","1","3","article","技术质量","","","","",""
"9","6","0,1,6,","1","3","article","工程质量","","","","",""
